crop,MSP_or_AvgPrice,Cost_of_Cultivation,Yield_per_Hectare,Revenue,Profit
rice,2183,60000,35,76405,16405
wheat,2275,55000,32,72800,17800
maize,2090,45000,28,58520,13520
barley,1800,40000,25,45000,5000
bajra,2500,35000,20,50000,15000
sorghum,2750,38000,22,60500,22500
chickpea,5445,35000,20,108900,73900
pigeonpea,6600,40000,18,118800,78800
blackgram,6550,30000,10,65500,35500
mungbean,7275,30000,11,80025,50025
lentil,6425,32000,12,77100,45100
groundnut,6377,40000,20,127540,87540
soybean,4600,42000,22,101200,59200
mustard,5650,30000,15,84750,54750
sunflower,6010,35000,18,108180,73180
sesame,7854,25000,10,78540,53540
sugarcane,315,180000,800,252000,72000
cotton,6622,70000,15,99330,29330
jute,5050,60000,25,126250,66250
coffee,120000,120000,8,960000,840000
banana,10000,180000,35,350000,170000
mango,50000,60000,10,500000,440000
pomegranate,80000,90000,12,960000,870000
papaya,45000,70000,35,1575000,1505000
potato,22000,120000,25,550000,430000
onion,30000,100000,20,600000,500000
tomato,18000,110000,25,450000,340000
brinjal,20000,100000,22,440000,340000
okra,30000,90000,18,540000,450000
chilli,4000,80000,20,80000,0
cabbage,2500,60000,25,62500,2500
cauliflower,2800,65000,25,70000,5000
spinach,2000,40000,12,24000,-16000
